timestamp,model,row_index,tweet_id,screen_name,elapsed_sec,raw_output,extracted_value,mapped_utile,prompt_used,text_preview,judge_verdict,judge_name
2025-11-18 15:35:03,llama3.2:3b,1,,m_annuel,0.267,"{""status"": ""problem""}",problem,true,custom,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:04,llama3.2:3b,2,,Freebox,0.241,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: Retrouvez désormais @ToonamiFR, la chaîne pour tous les fans de super-héros sur le canal 82 ! https://t.co/kuAYafYDiT","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:04,llama3.2:3b,3,,Freebox,0.250,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: A suivre ce soir, le 1er match de l’UEFA EURO 2020™ en #4K sur votre Freebox avec TF1 4K ! 🇹🇷⚽️🇮🇹 #EURO2020 https://t.co/gMTcYtGd…","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:04,llama3.2:3b,4,,Freebox,0.237,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: Disponible sur le canal 101 avec les Freebox compatibles, Pop, Delta Devialet &amp; Mini4k !\nhttps://t.co/rZugCytA1J","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:04,llama3.2:3b,5,,Freebox,0.248,"{""status"": ""not_problem""}",not_problem,false,custom,"« Faites vos premiers pas avec nous ! Découvrez votre nouveau site d'assistance Freebox et Mobile, sur https://t.co/yw1XX4zeSx 🚀 https://t.co/YCMv79evbM","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:05,llama3.2:3b,6,,Freebox,0.252,"{""status"": ""problem""}",problem,true,custom,RT @free: ⚠️ Des personnes malveillantes se font passer pour le service client de Free dans le but de faire baisser votre facture Freebox :…,"{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:05,llama3.2:3b,7,,Freebox,0.249,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: [NOUVEAU]\nAbonnés Freebox Pop, pour bien commencer la rentrée, CANAL+SÉRIES vous est offert pendant 1 an ! 😍😎@canalplus https://t…","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:05,llama3.2:3b,8,,Freebox,0.251,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @BusyspiderFr: Astuce 💡Chez @Free les Emails sont à vie, mais suite à résiliation @Freebox, ils deviennent orphelins. Pour les rendre de…","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:05,llama3.2:3b,9,,Freebox,0.239,"{""status"": ""not_problem""}",not_problem,false,custom,"FreePlugs et boîtiers CPL personnels : gérer votre réseau CPL 🔗\nOn vous explique comment installer, optimiser et/ou repenser votre réseau CPL afin d'améliorer la liaison avec vos équipements.\nhttps://t.co/DhK2hGTAR3 https://t.co/JF6sn3PMyK","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
2025-11-18 15:35:06,llama3.2:3b,10,,Freebox,0.249,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: Vous allez commencer le match avec 15 min de retard ?  Pas de soucis avec la fonction Start-over, maintenant disponible sur Freeb…","{'verdict': 'pass', 'reason': 'Classification aligns with heuristic keywords.'}",J_utile_consistency
