timestamp,model,row_index,tweet_id,screen_name,elapsed_sec,raw_output,extracted_value,mapped_utile,prompt_used,text_preview
2025-11-18 15:25:55,llama3.2:3b,1,,m_annuel,1.942,"{""status"": ""problem""}",problem,true,custom,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect"
2025-11-18 15:25:55,llama3.2:3b,2,,Freebox,0.240,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: Retrouvez désormais @ToonamiFR, la chaîne pour tous les fans de super-héros sur le canal 82 ! https://t.co/kuAYafYDiT"
2025-11-18 15:25:56,llama3.2:3b,3,,Freebox,0.261,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: A suivre ce soir, le 1er match de l’UEFA EURO 2020™ en #4K sur votre Freebox avec TF1 4K ! 🇹🇷⚽️🇮🇹 #EURO2020 https://t.co/gMTcYtGd…"
2025-11-18 15:25:56,llama3.2:3b,4,,Freebox,0.251,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: Disponible sur le canal 101 avec les Freebox compatibles, Pop, Delta Devialet &amp; Mini4k !\nhttps://t.co/rZugCytA1J"
2025-11-18 15:25:56,llama3.2:3b,5,,Freebox,0.241,"{""status"": ""not_problem""}",not_problem,false,custom,"« Faites vos premiers pas avec nous ! Découvrez votre nouveau site d'assistance Freebox et Mobile, sur https://t.co/yw1XX4zeSx 🚀 https://t.co/YCMv79evbM"
2025-11-18 15:25:56,llama3.2:3b,6,,Freebox,0.248,"{""status"": ""problem""}",problem,true,custom,RT @free: ⚠️ Des personnes malveillantes se font passer pour le service client de Free dans le but de faire baisser votre facture Freebox :…
2025-11-18 15:25:57,llama3.2:3b,7,,Freebox,0.240,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: [NOUVEAU]\nAbonnés Freebox Pop, pour bien commencer la rentrée, CANAL+SÉRIES vous est offert pendant 1 an ! 😍😎@canalplus https://t…"
2025-11-18 15:25:57,llama3.2:3b,8,,Freebox,0.255,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @BusyspiderFr: Astuce 💡Chez @Free les Emails sont à vie, mais suite à résiliation @Freebox, ils deviennent orphelins. Pour les rendre de…"
2025-11-18 15:25:57,llama3.2:3b,9,,Freebox,0.241,"{""status"": ""not_problem""}",not_problem,false,custom,"FreePlugs et boîtiers CPL personnels : gérer votre réseau CPL 🔗\nOn vous explique comment installer, optimiser et/ou repenser votre réseau CPL afin d'améliorer la liaison avec vos équipements.\nhttps://t.co/DhK2hGTAR3 https://t.co/JF6sn3PMyK"
2025-11-18 15:25:57,llama3.2:3b,10,,Freebox,0.242,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: Vous allez commencer le match avec 15 min de retard ?  Pas de soucis avec la fonction Start-over, maintenant disponible sur Freeb…"
2025-11-18 15:25:58,llama3.2:3b,11,,Freebox,0.252,"{""status"": ""not_problem""}",not_problem,false,custom,"RT @free: L'application Freebox Home est maintenant disponible en version officielle pour Android &amp; iOS. 📲\nPour la télécharger, c'est ici➡️…"
2025-11-18 15:25:58,llama3.2:3b,12,,Freebox,0.237,"{""status"": ""problem""}",problem,true,custom,"RT @Free_1337: Une coupure de fibres ""multi opérateurs"" engendre depuis ce matin des perturbations de service sur Saint Pol sur Ternoise (6…"
2025-11-18 15:25:58,llama3.2:3b,13,,Freebox,0.238,"{""status"": ""problem""}",problem,true,custom,RT @Free_1337: Nous avons un incident qui engendre une perte de service de certains abonnés sur les villes de Laon et Soissons (02). Une in…
2025-11-18 15:25:58,llama3.2:3b,14,,Freebox,0.239,"{""status"": ""problem""}",problem,true,custom,RT @Free_1337: Une rupture de fibre entraîne des perturbations de service dans la région de Cernay La Ville et Chevreuse (78). Une équipe e…
2025-11-18 15:25:59,llama3.2:3b,15,,Freebox,0.229,"{""status"": ""problem""}",problem,true,custom,RT @Free_1337: Une rupture de fibre entraîne des perturbations de service depuis 14h30 sur une partie de Strasbourg / Koenigshoffen / Crone…
2025-11-18 15:25:59,llama3.2:3b,16,,Free_1337,0.249,"{""status"": ""problem""}",problem,true,custom,"Un incident sur nos fibres engendre des perturbations de service sur une partie des départements du Lot (46) et de l'Aveyron (12).\nDes investigations sont en cours, merci de votre patience."
2025-11-18 15:25:59,llama3.2:3b,17,,Freebox,0.246,"{""status"": ""problem""}",problem,true,custom,RT @Free_1337: Un incident sur nos fibres engendre des perturbations de service sur une partie des départements du Lot (46) et de l'Aveyron…
2025-11-18 15:25:59,llama3.2:3b,18,,Freebox,0.265,"{""status"": ""not_problem""}",not_problem,false,custom,Les équipes de l’assistance Free vous souhaitent de joyeuses fêtes ! Nos services profitent aussi des fêtes ce 25 décembre et seront de retour le 26 dès 9h00 ! 🎅🏻🎁 https://t.co/dhPpFn9nfG
2025-11-18 15:26:00,llama3.2:3b,19,,Freebox,0.247,"{""status"": ""not_problem""}",not_problem,false,custom,Les équipes de l’assistance Free vous souhaitent une excellente année 2022 ! Nous ferons aussi la fête le 1er janvier et nous serons de retour le 02 dès 9h00 ! 🎆🎉 https://t.co/Nhz5mq8kuR
2025-11-18 15:26:00,llama3.2:3b,20,,free,0.240,"{""status"": ""not_problem""}",not_problem,false,custom,"Liberté, égalité, prix inchangés. https://t.co/n0IdhVaeCq"
