id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url,A1_utile
1343458257915031553,2020-12-28 08:26:23 +01:00,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect",[],m_annuel,M Annuel,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1104790986801250304,null,null,null,[],2,1,0,0,1,null,false,false,false,https://twitter.com/m_annuel/status/1343458257915031553,true
1393158240083587075,2021-05-14 12:56:22 +02:00,"RT @free: Retrouvez désormais @ToonamiFR, la chaîne pour tous les fans de super-héros sur le canal 82 ! https://t.co/kuAYafYDiT","[{""type"":""photo"",""url"":""https://t.co/kuAYafYDiT"",""thumbnail"":""https://pbs.twimg.com/media/E1HmNrfX0AMmzOd?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/E1HmNrfX0AMmzOd?format=jpg&name=orig""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1393125178591248387,null,[],0,16,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1393158240083587075,false
1403337211475546112,2021-06-11 15:03:58 +02:00,"RT @free: A suivre ce soir, le 1er match de l’UEFA EURO 2020™ en #4K sur votre Freebox avec TF1 4K ! 🇹🇷⚽️🇮🇹 #EURO2020 https://t.co/gMTcYtGd…","[{""type"":""photo"",""url"":""https://t.co/gMTcYtGddj"",""thumbnail"":""https://pbs.twimg.com/media/E3mbxj3XMAACkmN?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/E3mbxj3XMAACkmN?format=jpg&name=orig""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1403329474561724421,null,[],0,15,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1403337211475546112,false
1403337257571004417,2021-06-11 15:04:09 +02:00,"RT @free: Disponible sur le canal 101 avec les Freebox compatibles, Pop, Delta Devialet &amp; Mini4k !\nhttps://t.co/rZugCytA1J",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1403332744558661636,null,[],0,5,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1403337257571004417,false
1418550491034882052,2021-07-23 14:36:07 +02:00,"« Faites vos premiers pas avec nous ! Découvrez votre nouveau site d'assistance Freebox et Mobile, sur https://t.co/yw1XX4zeSx 🚀 https://t.co/YCMv79evbM","[{""type"":""video"",""url"":""https://t.co/YCMv79evbM"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1418549926330605568/pu/img/EaEdrlt0M55ZZjtN.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1418549926330605568/pu/vid/1280x720/RNQUaT6xqL8TZ9Pv.mp4?tag=12""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,null,null,[],31,7,0,3,35,null,false,false,false,https://twitter.com/Freebox/status/1418550491034882052,false
1424635437834981377,2021-08-09 09:35:31 +02:00,RT @free: ⚠️ Des personnes malveillantes se font passer pour le service client de Free dans le but de faire baisser votre facture Freebox :…,[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1423641166050889733,null,[],0,109,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1424635437834981377,true
1436312920124760064,2021-09-10 14:57:40 +02:00,"RT @free: [NOUVEAU]\nAbonnés Freebox Pop, pour bien commencer la rentrée, CANAL+SÉRIES vous est offert pendant 1 an ! 😍😎@canalplus https://t…","[{""type"":""video"",""url"":""https://t.co/1zbl3dDbot"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1436280744603758594/pu/img/8XeMlLAMYQpOe1jC.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1436280744603758594/pu/vid/1280x720/SCbcK8JjWAy8AsHD.mp4?tag=12""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1436312060179197968,null,[],0,16,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1436312920124760064,false
1437793652827463680,2021-09-14 17:01:34 +02:00,"RT @BusyspiderFr: Astuce 💡Chez @Free les Emails sont à vie, mais suite à résiliation @Freebox, ils deviennent orphelins. Pour les rendre de…","[{""type"":""photo"",""url"":""https://t.co/hEbg8Q2AhB"",""thumbnail"":""https://pbs.twimg.com/media/E_QMQjtWQA0iEtM?format=png&name=thumb"",""original"":""https://pbs.twimg.com/media/E_QMQjtWQA0iEtM?format=png&name=orig""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1437787767895908359,null,[],0,9,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1437793652827463680,false
1438534927734169617,2021-09-16 18:07:08 +02:00,"FreePlugs et boîtiers CPL personnels : gérer votre réseau CPL 🔗\nOn vous explique comment installer, optimiser et/ou repenser votre réseau CPL afin d'améliorer la liaison avec vos équipements.\nhttps://t.co/DhK2hGTAR3 https://t.co/JF6sn3PMyK","[{""type"":""photo"",""url"":""https://t.co/JF6sn3PMyK"",""thumbnail"":""https://pbs.twimg.com/media/E_axfeCXoAA77R6?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/E_axfeCXoAA77R6?format=jpg&name=orig""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,null,null,[],23,7,2,1,13,null,false,false,false,https://twitter.com/Freebox/status/1438534927734169617,false
1446153856849743873,2021-10-07 18:42:02 +02:00,"RT @free: Vous allez commencer le match avec 15 min de retard ?  Pas de soucis avec la fonction Start-over, maintenant disponible sur Freeb…","[{""type"":""photo"",""url"":""https://t.co/7IEyeX1y2r"",""thumbnail"":""https://pbs.twimg.com/media/FBGnT8XVgAI4jxt?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/FBGnT8XVgAI4jxt?format=jpg&name=orig""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1446145702166421505,null,[],0,17,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1446153856849743873,false
1450733388390965251,2021-10-20 09:59:27 +02:00,"RT @free: L'application Freebox Home est maintenant disponible en version officielle pour Android &amp; iOS. 📲\nPour la télécharger, c'est ici➡️…","[{""type"":""photo"",""url"":""https://t.co/ZM4JEzfEME"",""thumbnail"":""https://pbs.twimg.com/media/FCC-my-XMAAG6yd?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/FCC-my-XMAAG6yd?format=jpg&name=orig""}]",Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1450456564410761218,null,[],0,15,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1450733388390965251,false
1466056554667548691,2021-12-01 15:48:15 +01:00,"RT @Free_1337: Une coupure de fibres ""multi opérateurs"" engendre depuis ce matin des perturbations de service sur Saint Pol sur Ternoise (6…",[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1465992306906083334,null,[],0,10,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1466056554667548691,true
1468535102808416264,2021-12-08 11:57:07 +01:00,RT @Free_1337: Nous avons un incident qui engendre une perte de service de certains abonnés sur les villes de Laon et Soissons (02). Une in…,[],Freebox,Assistance Freebox,https://pbs.twimg.com/profile_images/671676021989580801/HSE47AwF_normal.jpg,58920430,null,1468526668260204549,null,[],0,7,0,0,0,null,false,false,false,https://twitter.com/Freebox/status/1468535102808416264,true
