timestamp,row_index,tweet_id,screen_name,full_text,elapsed_sec,A1_utile,A2_categorie,A3_sentiment,A4_type,A5_gravity,Final_utile,Final_categorie,Final_sentiment,Final_gravity,status,json_valid
2025-11-19 11:16:27,1,1343458257915031553,m_annuel,"💩 à @free parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 https://t.co/Yab5ES2gLh\n\n#fing #internet #Free\n\nvia @fingapp @outagedetect",10.69,,probleme,frustration,panne,,,,,,error,yes
2025-11-19 11:16:34,2,1393158240083587075,Freebox,"RT @free: Retrouvez désormais @ToonamiFR, la chaîne pour tous les fans de super-héros sur le canal 82 ! https://t.co/kuAYafYDiT",7.15,,probleme,negative,abonnement,,,,,,error,yes
2025-11-19 11:16:39,3,1403337211475546112,Freebox,"RT @free: A suivre ce soir, le 1er match de l’UEFA EURO 2020™ en #4K sur votre Freebox avec TF1 4K ! 🇹🇷⚽️🇮🇹 #EURO2020 https://t.co/gMTcYtGd…",4.66,,retour_client,neutre,abonnement,,,,,,error,yes
2025-11-19 11:16:44,4,1403337257571004417,Freebox,"RT @free: Disponible sur le canal 101 avec les Freebox compatibles, Pop, Delta Devialet &amp; Mini4k !\nhttps://t.co/rZugCytA1J",5.32,,probleme,positive,abonnement,-5,,,,,unclear,no
2025-11-19 11:16:52,5,1418550491034882052,Freebox,"« Faites vos premiers pas avec nous ! Découvrez votre nouveau site d'assistance Freebox et Mobile, sur https://t.co/yw1XX4zeSx 🚀 https://t.co/YCMv79evbM",7.84,,probleme,positive,découverte du site d'assistance,0,,,,,error,yes
2025-11-19 11:16:57,6,1424635437834981377,Freebox,RT @free: ⚠️ Des personnes malveillantes se font passer pour le service client de Free dans le but de faire baisser votre facture Freebox :…,4.93,,probleme,frustration,abonnement,,False,,frustration,0,success/error,yes
2025-11-19 11:17:01,7,1436312920124760064,Freebox,"RT @free: [NOUVEAU]\nAbonnés Freebox Pop, pour bien commencer la rentrée, CANAL+SÉRIES vous est offert pendant 1 an ! 😍😎@canalplus https://t…",3.89,,probleme,colere,abonnement,0,,,,,error,yes
2025-11-19 11:17:09,8,1437793652827463680,Freebox,"RT @BusyspiderFr: Astuce 💡Chez @Free les Emails sont à vie, mais suite à résiliation @Freebox, ils deviennent orphelins. Pour les rendre de…",7.95,,probleme,frustration,abonnement,,,,,,error,yes
2025-11-19 11:17:17,9,1438534927734169617,Freebox,"FreePlugs et boîtiers CPL personnels : gérer votre réseau CPL 🔗\nOn vous explique comment installer, optimiser et/ou repenser votre réseau CPL afin d'améliorer la liaison avec vos équipements.\nhttps://t.co/DhK2hGTAR3 https://t.co/JF6sn3PMyK",8.27,,probleme,colere,facturation,0,,,,,error,yes
2025-11-19 11:17:26,10,1446153856849743873,Freebox,"RT @free: Vous allez commencer le match avec 15 min de retard ?  Pas de soucis avec la fonction Start-over, maintenant disponible sur Freeb…",8.68,,probleme,colere,,-2,,,,,error,yes
2025-11-19 11:17:32,11,1450733388390965251,Freebox,"RT @free: L'application Freebox Home est maintenant disponible en version officielle pour Android &amp; iOS. 📲\nPour la télécharger, c'est ici➡️…",6.45,,retour_client,neutre,abonnement,,,,,,error,yes
2025-11-19 11:17:38,12,1466056554667548691,Freebox,"RT @Free_1337: Une coupure de fibres ""multi opérateurs"" engendre depuis ce matin des perturbations de service sur Saint Pol sur Ternoise (6…",6.2,,probleme,frustration,abonnement,2,,,,,error,yes
2025-11-19 11:17:45,13,1468535102808416264,Freebox,RT @Free_1337: Nous avons un incident qui engendre une perte de service de certains abonnés sur les villes de Laon et Soissons (02). Une in…,7.1,,probleme,frustration,panne,-10,,,,,error,yes
2025-11-19 11:17:54,14,1468923610521870340,Freebox,RT @Free_1337: Une rupture de fibre entraîne des perturbations de service dans la région de Cernay La Ville et Chevreuse (78). Une équipe e…,8.33,,probleme,colere,abonnement,0,,,,,error,yes
2025-11-19 11:18:03,15,1469294236440969226,Freebox,RT @Free_1337: Une rupture de fibre entraîne des perturbations de service depuis 14h30 sur une partie de Strasbourg / Koenigshoffen / Crone…,9.33,,probleme,NEUTRE,facturation,-8,,,,,error,yes
2025-11-19 11:18:10,16,1471118475452104707,Free_1337,"Un incident sur nos fibres engendre des perturbations de service sur une partie des départements du Lot (46) et de l'Aveyron (12).\nDes investigations sont en cours, merci de votre patience.",7.25,,probleme,neutre,panne,3,,,,,error,yes
2025-11-19 11:18:19,17,1471133735865098240,Freebox,RT @Free_1337: Un incident sur nos fibres engendre des perturbations de service sur une partie des départements du Lot (46) et de l'Aveyron…,8.29,,probleme,colere,abonnement,,,,,,error,yes
2025-11-19 11:18:24,18,1474424640470614017,Freebox,Les équipes de l’assistance Free vous souhaitent de joyeuses fêtes ! Nos services profitent aussi des fêtes ce 25 décembre et seront de retour le 26 dès 9h00 ! 🎅🏻🎁 https://t.co/dhPpFn9nfG,5.44,,retour_client,satisfaction,facturation,,False,retour_client,satisfaction,0,success,yes
2025-11-19 11:18:37,19,1476961348131049473,Freebox,Les équipes de l’assistance Free vous souhaitent une excellente année 2022 ! Nous ferons aussi la fête le 1er janvier et nous serons de retour le 02 dès 9h00 ! 🎆🎉 https://t.co/Nhz5mq8kuR,13.12,,retour_client,satisfaction,abonnement,0,,,,,error,yes
2025-11-19 11:18:44,20,1480457311051255811,free,"Liberté, égalité, prix inchangés. https://t.co/n0IdhVaeCq",7.01,,probleme,,facturation,,,,,,error,yes
2025-11-19 11:18:48,21,1480465391424053249,GroupeIliad,🎂 @free célèbre aujourd'hui 10 ans de révolution mobile ! Notre CP 👉 https://t.co/4wiuxqOx9b https://t.co/c1e4svvexn,4.28,,retour_client,,information,,True,,,0,success,yes
2025-11-19 11:18:54,22,1481569489741352965,Freebox,"RT @free: Découvrez Imearth, la nouvelle chaîne d’immersion dont vous êtes le héros et projetez vous au cœur du monde qui nous entoure !\nIm…",6.05,,retour_client,colere,resiliation,0,,,,,error,yes
2025-11-19 11:19:03,23,1481898887937880067,free,"Et si votre mobile a rendu l'âme, déposez-le dans une boite de collecte disponible dans nos boutiques Free pour qu'il soit recyclé ♻️.\n\nVous pourrez en profiter pour vous offrir un smartphone reconditionné à prix Free ☺️📱",8.62,,probleme,neutre,resiliation,0,,,,,error,yes
2025-11-19 11:19:06,24,1485331097844129798,MitchelMcPat,Et vous ça se passe comment la fibre ?\n@Sosh_fr @CovageIDF_OUEST c’est la misère vraiment jpp https://t.co/I41UXroh0F,2.51,,probleme,,abonnement,,,,,,error,yes
2025-11-19 11:19:12,25,1485593294944063490,Free_1337,"Un coupure de fibre entraîne une interruption de service pour une partie des abonnés de Cergy (95). Des équipes sont sur place, nous vous tiendrons informés.\nMerci pour votre patience.",6.03,,probleme,frustration,abonnement,-5,,,,,error,yes
2025-11-19 11:19:18,26,1485595787144966144,Freebox,RT @Free_1337: Un coupure de fibre entraîne une interruption de service pour une partie des abonnés de Cergy (95). Des équipes sont sur pla…,6.2,,probleme,neutre,abonnement,2,,,,,error,yes
2025-11-19 11:19:31,27,1495710997356716035,Free_1337,"Bonjour, une rupture de fibre engendre depuis ce matin une interruption de service sur la région de Cernay la Ville (78) ainsi qu'une partie du 78 et du 91.\nUne équipe est sur place, nous vous tiendrons informé de l'évolution de la situation. Merci pour votre patience. https://t.co/2XIRCXyR7j",13.09,,probleme,neutre avec empathie,panne,-8,,,,,error,yes
2025-11-19 11:19:38,28,1495762847825272834,Freebox,"RT @Free_1337: Bonjour, une rupture de fibre engendre depuis ce matin une interruption de service sur la région de Cernay la Ville (78) ain…",7.28,,probleme,colere,panne,,,,,,error,yes
2025-11-19 11:19:46,29,1594961300651646976,free,"🚨 En exclusivité, le 11 de ce soir : https://t.co/lIxWnFVZqd",7.45,,probleme,satisfaction,panne,,False,probleme,satisfaction,0,success,yes
2025-11-19 11:19:59,30,1694675653205860558,jnbarrot,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique @free à Argenteuil, dans le Val-d'Oise. https://t.co/nKKA40veRw",13.08,,probleme,satisfaction,Infrastructure,0,,,,,error,yes
2025-11-19 11:20:08,31,1695912123824546156,rgaidot,"Hello @free, @Freebox et @orange je crois que nous allons avoir prochainement un gros problème de fibre / PBOE https://t.co/IreryVRyFc",9.12,,probleme,,facturation,,,,,,error,yes
2025-11-19 11:20:13,32,1709659172361404776,EllaVerite,"Bonsoir @WavemakerFR, je suis chez @free et voici ma bande passante #Freebox ⤵️\nVous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire @reef_telecom\n\n@Freebox @FreePro @GroupeIliad @Xavier75 🤡 https://t.co/f2CDpSoXJF",5.28,,probleme,colere,facturation,,True,,positive,0,success,yes
2025-11-19 11:20:22,33,1711773973401235737,michfrapp,"@free @Xavier75 @NThomas82Free \n\nEn 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! https://t.co/Z1Wn4nhGmu",9.12,,probleme,frustration,abonnement,,,,,,error,yes
2025-11-19 11:20:29,34,1752257145536463314,free,Free vous présente : Freebox Ultra https://t.co/npfjDMNJQ2,6.28,,retour_client,positive,,0,,,,,error,yes
2025-11-19 11:20:39,35,1752264227656544511,free,Freebox Ultra : la box la plus puissante et la plus complète du marché avec les meilleurs contenus inclus.,10.08,,probleme,,abonnement,0,,,,,error,yes
2025-11-19 11:20:47,36,1752679131920076838,free,"Encore des travaux, toujours des travaux.\nLa Freebox Révolution Light au prix mythique de 29,99€/mois c’est dispo 👉 https://t.co/unO0ngya37 https://t.co/gcoEYsMtA1",8.25,,probleme,colere,abonnement,0,,,,,error,yes
2025-11-19 11:20:54,37,1759266279620247842,TomReynaud1789,".@free a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥",7.25,,probleme,satisfaction,resiliation,,False,,,-5,success/error,yes
2025-11-19 11:21:03,38,1762571081402011959,nephthys,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var @Freebox @Free_1337 @free https://t.co/UwrutxJMD9,9.26,,probleme,frustration,resiliation,,,,,,error,yes
2025-11-19 11:21:12,39,1795484249178755134,free,L’élite a connu la télécommande en acier galvanisé.,8.52,,probleme,,abonnement,,,,,,error,yes
2025-11-19 11:21:17,40,1797569914015780940,free,"🇫🇷 ALERTE INFO | Le prix des forfaits mobiles Free 2€ et 19,99€ n’augmentera pas d'ici 2027.",4.83,,retour_client,neutral,abonnement,,,,,,error,yes
2025-11-19 11:21:26,41,1800904073501462894,free,Révolutionner le marché des télécoms.,9.15,,probleme,positive,abonnement,-8,,,,,error,yes
2025-11-19 11:21:35,42,1805918937810362408,free,"Free, c'est près de 650 postes à pourvoir partout en France. \n\nEt toi, t'es libre ? \n\n👉 https://t.co/DwufxIbZus https://t.co/MPr3FWat8S",9.46,,probleme,colere,abonnement,-1,,,,,error,yes
2025-11-19 11:21:42,43,1811040987365421110,FrenchTea13,"@Xavier75 et tout le réseau @Freebox sachez qu'une main courante va être déposée, et ira plus loin s'il le faut.\n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement.\nVos forfaits de merde j'en veux pas.",6.91,True,probleme,colère,facturation/demande de forfait avec abonnement enlitérée,,False,,,0,success/error,yes
2025-11-19 11:21:50,44,1811340901450473847,Free_1337,"[Speedtest] Hop ! Le nouveau serveur nPerf 100 Gb/s pour vos tests de débit @free est apparu. Il vous permettra d’effectuer une symétrie de vos speedtest @nPerf pour des conditions optimales. 🚀✨ #Nperf #Free #Speedtest\n\nAlors, ça donne quoi vos tests ? https://t.co/UE2OJDZ1tw",8.12,,retour_client,satisfaction,facturation,,False,analyse de sentiment,satisfaction,0,success,yes
2025-11-19 11:21:56,45,1812874502642049501,Tubbydev,"@free @Xavier75 Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?",5.64,,probleme,colere,fraude ou incontration de contrat,,"[True, False, True, False, False]","['probleme', None, None, None, None]","['colere', None, 'colere', None, 'colere']","[5, 0, 5, 0, 0]","['success', 'error', 'success', 'error', 'error']",yes
